VariantsC(
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (encoder): ModuleList(
    (0): TransformerBlock(
      (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
      (transformer): MultiheadAttention(
        (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
      )
      (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-3): 3 x Sequential(
      (0): TransformerBlock(
        (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
        (transformer): MultiheadAttention(
          (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
        )
        (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
      )
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
  )
  (downsample): ModuleList(
    (0): Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-2): 2 x Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(8, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (3): Identity()
  )
)
Encoder_0.03M_Decoder_0.0M_Total_0.0M
[2025/03/05 17:38:03] Rank:None, Sample ID:41, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.9954
[2025/03/05 17:38:07] Rank:None, Sample ID:42, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.6077
[2025/03/05 17:38:11] Rank:None, Sample ID:43, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.4406
[2025/03/05 17:38:15] Rank:None, Sample ID:44, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.2123
[2025/03/05 17:38:20] Rank:None, Sample ID:45, Epoch[300/300], lr:0.00e+00 pred_PSNR: 12.0451
[2025/03/05 17:38:25] Rank:None, Sample ID:46, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.9658
[2025/03/05 17:38:30] Rank:None, Sample ID:47, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.3676
[2025/03/05 17:38:35] Rank:None, Sample ID:48, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.1933
[2025/03/05 17:38:40] Rank:None, Sample ID:49, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.4945
[2025/03/05 17:38:45] Rank:None, Sample ID:50, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.8544
[2025/03/05 17:38:50] Rank:None, Sample ID:51, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.2786
[2025/03/05 17:38:54] Rank:None, Sample ID:52, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.2046
[2025/03/05 17:38:59] Rank:None, Sample ID:53, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.9861
[2025/03/05 17:39:03] Rank:None, Sample ID:54, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.5989
[2025/03/05 17:39:07] Rank:None, Sample ID:55, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.6856
[2025/03/05 17:39:12] Rank:None, Sample ID:56, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.9711
[2025/03/05 17:39:17] Rank:None, Sample ID:57, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.5749
[2025/03/05 17:39:23] Rank:None, Sample ID:58, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.7764
[2025/03/05 17:39:28] Rank:None, Sample ID:59, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.8271
[2025/03/05 17:39:34] Rank:None, Sample ID:60, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.3768
[2025/03/05 17:39:39] Rank:None, Sample ID:61, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.8985
[2025/03/05 17:39:44] Rank:None, Sample ID:62, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.2816
[2025/03/05 17:39:50] Rank:None, Sample ID:63, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.6394
[2025/03/05 17:39:55] Rank:None, Sample ID:64, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.4693
[2025/03/05 17:40:00] Rank:None, Sample ID:65, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.3119
[2025/03/05 17:40:06] Rank:None, Sample ID:66, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.138
[2025/03/05 17:40:11] Rank:None, Sample ID:67, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.761
[2025/03/05 17:40:16] Rank:None, Sample ID:68, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.4052
[2025/03/05 17:40:21] Rank:None, Sample ID:69, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.5193
[2025/03/05 17:40:25] Rank:None, Sample ID:70, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.1346
[2025/03/05 17:40:30] Rank:None, Sample ID:71, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.9393
[2025/03/05 17:40:34] Rank:None, Sample ID:72, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.9062
[2025/03/05 17:40:38] Rank:None, Sample ID:73, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.1483
[2025/03/05 17:40:42] Rank:None, Sample ID:74, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.6016
[2025/03/05 17:40:47] Rank:None, Sample ID:75, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.1155
[2025/03/05 17:40:53] Rank:None, Sample ID:76, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.022
[2025/03/05 17:40:57] Rank:None, Sample ID:77, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.4403
[2025/03/05 17:41:02] Rank:None, Sample ID:78, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.7264
[2025/03/05 17:41:08] Rank:None, Sample ID:79, Epoch[300/300], lr:0.00e+00 pred_PSNR: 13.2555
[2025/03/05 17:41:13] Rank:None, Sample ID:80, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.9048
[2025/03/05 17:41:18] Rank:None, Sample ID:81, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.0701
[2025/03/05 17:41:23] Rank:None, Sample ID:82, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.9632
[2025/03/05 17:41:28] Rank:None, Sample ID:83, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.657
[2025/03/05 17:41:34] Rank:None, Sample ID:84, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.5864
[2025/03/05 17:41:38] Rank:None, Sample ID:85, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.3271
[2025/03/05 17:41:44] Rank:None, Sample ID:86, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.7658
[2025/03/05 17:41:48] Rank:None, Sample ID:87, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.0752
[2025/03/05 17:41:53] Rank:None, Sample ID:88, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.5862
[2025/03/05 17:41:57] Rank:None, Sample ID:89, Epoch[300/300], lr:0.00e+00 pred_PSNR: 25.8033
[2025/03/05 17:42:02] Rank:None, Sample ID:90, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.9056
[2025/03/05 17:42:07] Rank:None, Sample ID:91, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.5492
[2025/03/05 17:42:12] Rank:None, Sample ID:92, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.0785
[2025/03/05 17:42:19] Rank:None, Sample ID:93, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.0073
[2025/03/05 17:42:24] Rank:None, Sample ID:94, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.1342
[2025/03/05 17:42:30] Rank:None, Sample ID:95, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.3215
[2025/03/05 17:42:34] Rank:None, Sample ID:96, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.1667
[2025/03/05 17:42:39] Rank:None, Sample ID:97, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.1198
[2025/03/05 17:42:45] Rank:None, Sample ID:98, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.3134
[2025/03/05 17:42:50] Rank:None, Sample ID:99, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.8568
[2025/03/05 17:42:56] Rank:None, Sample ID:100, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.267
[2025/03/05 17:43:02] Rank:None, Sample ID:101, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.451
[2025/03/05 17:43:07] Rank:None, Sample ID:102, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.6083
[2025/03/05 17:43:12] Rank:None, Sample ID:103, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.1103
[2025/03/05 17:43:16] Rank:None, Sample ID:104, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.2749
[2025/03/05 17:43:20] Rank:None, Sample ID:105, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.7729
[2025/03/05 17:43:24] Rank:None, Sample ID:106, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.952
