VariantsC(
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (encoder): ModuleList(
    (0): SSMBlock(
      (block): S4ND(
        (kernel): ModuleList(
          (0-1): 2 x SSMKernelDPLR()
        )
      )
    )
    (1-3): 3 x Sequential(
      (0): SSMBlock(
        (block): S4ND(
          (kernel): ModuleList(
            (0-1): 2 x SSMKernelDPLR()
          )
        )
      )
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
  )
  (downsample): ModuleList(
    (0): Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-2): 2 x Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(8, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (3): Identity()
  )
)
Encoder_0.0M_Decoder_0.0M_Total_0.0M
[2025/03/05 17:49:46] Rank:None, Sample ID:44, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.6733
[2025/03/05 17:49:53] Rank:None, Sample ID:45, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.2164
[2025/03/05 17:50:01] Rank:None, Sample ID:46, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.2537
[2025/03/05 17:50:09] Rank:None, Sample ID:47, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.9336
[2025/03/05 17:50:16] Rank:None, Sample ID:48, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.374
[2025/03/05 17:50:24] Rank:None, Sample ID:49, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.6568
[2025/03/05 17:50:32] Rank:None, Sample ID:50, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.8594
[2025/03/05 17:50:39] Rank:None, Sample ID:51, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.8121
[2025/03/05 17:50:47] Rank:None, Sample ID:52, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.8443
[2025/03/05 17:50:55] Rank:None, Sample ID:53, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.5716
[2025/03/05 17:51:03] Rank:None, Sample ID:54, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.9785
[2025/03/05 17:51:11] Rank:None, Sample ID:55, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.7451
[2025/03/05 17:51:19] Rank:None, Sample ID:56, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.2304
[2025/03/05 17:51:27] Rank:None, Sample ID:57, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.6439
[2025/03/05 17:51:35] Rank:None, Sample ID:58, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.094
[2025/03/05 17:51:42] Rank:None, Sample ID:59, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.1948
[2025/03/05 17:51:50] Rank:None, Sample ID:60, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.4456
[2025/03/05 17:51:57] Rank:None, Sample ID:61, Epoch[300/300], lr:0.00e+00 pred_PSNR: 25.3695
[2025/03/05 17:52:06] Rank:None, Sample ID:62, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.8382
[2025/03/05 17:52:13] Rank:None, Sample ID:63, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.7847
[2025/03/05 17:52:21] Rank:None, Sample ID:64, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.8865
[2025/03/05 17:52:30] Rank:None, Sample ID:65, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.3743
[2025/03/05 17:52:38] Rank:None, Sample ID:66, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.1871
[2025/03/05 17:52:46] Rank:None, Sample ID:67, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.2307
[2025/03/05 17:52:53] Rank:None, Sample ID:68, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.3796
[2025/03/05 17:53:01] Rank:None, Sample ID:69, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.9304
[2025/03/05 17:53:09] Rank:None, Sample ID:70, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.3283
[2025/03/05 17:53:17] Rank:None, Sample ID:71, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.8289
[2025/03/05 17:53:25] Rank:None, Sample ID:72, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.9534
[2025/03/05 17:53:32] Rank:None, Sample ID:73, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.6432
[2025/03/05 17:53:41] Rank:None, Sample ID:74, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.5537
[2025/03/05 17:53:48] Rank:None, Sample ID:75, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.7873
[2025/03/05 17:53:56] Rank:None, Sample ID:76, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.5136
[2025/03/05 17:54:04] Rank:None, Sample ID:77, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.0511
[2025/03/05 17:54:12] Rank:None, Sample ID:78, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.7573
[2025/03/05 17:54:20] Rank:None, Sample ID:79, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.7014
[2025/03/05 17:54:28] Rank:None, Sample ID:80, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.3318
[2025/03/05 17:54:35] Rank:None, Sample ID:81, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.0598
[2025/03/05 17:54:44] Rank:None, Sample ID:82, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.9777
[2025/03/05 17:54:52] Rank:None, Sample ID:83, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.7916
[2025/03/05 17:54:59] Rank:None, Sample ID:84, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.2855
[2025/03/05 17:55:07] Rank:None, Sample ID:85, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.4372
[2025/03/05 17:55:15] Rank:None, Sample ID:86, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.4189
[2025/03/05 17:55:23] Rank:None, Sample ID:87, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.1046
[2025/03/05 17:55:30] Rank:None, Sample ID:88, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.755
[2025/03/05 17:55:38] Rank:None, Sample ID:89, Epoch[300/300], lr:0.00e+00 pred_PSNR: 26.8052
[2025/03/05 17:55:46] Rank:None, Sample ID:90, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.0898
[2025/03/05 17:55:54] Rank:None, Sample ID:91, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.9525
[2025/03/05 17:56:01] Rank:None, Sample ID:92, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.9743
