VariantsB(
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (encoder): ModuleList(
    (0): TransformerBlock(
      (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
      (transformer): MultiheadAttention(
        (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
      )
      (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-3): 3 x Sequential(
      (0): TransformerBlock(
        (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
        (transformer): MultiheadAttention(
          (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
        )
        (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
      )
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
  )
  (downsample): ModuleList(
    (0): Conv2d(3, 8, kernel_size=(2, 2), stride=(2, 2))
    (1-2): 2 x Conv2d(8, 8, kernel_size=(2, 2), stride=(2, 2))
    (3): Identity()
  )
)
Encoder_0.03M_Decoder_0.0M_Total_0.0M
[2025/03/05 17:35:10] Rank:None, Sample ID:42, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.7969
[2025/03/05 17:35:15] Rank:None, Sample ID:43, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.975
[2025/03/05 17:35:20] Rank:None, Sample ID:44, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.2318
[2025/03/05 17:35:25] Rank:None, Sample ID:45, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.6042
[2025/03/05 17:35:29] Rank:None, Sample ID:46, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.3605
[2025/03/05 17:35:34] Rank:None, Sample ID:47, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.7039
[2025/03/05 17:35:39] Rank:None, Sample ID:48, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.1784
[2025/03/05 17:35:44] Rank:None, Sample ID:49, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.6557
[2025/03/05 17:35:49] Rank:None, Sample ID:50, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.7216
[2025/03/05 17:35:54] Rank:None, Sample ID:51, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.5846
[2025/03/05 17:35:59] Rank:None, Sample ID:52, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.6456
[2025/03/05 17:36:04] Rank:None, Sample ID:53, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.3931
[2025/03/05 17:36:09] Rank:None, Sample ID:54, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.5708
